	word form	frequence
1	die	527056159
2	und	488790440
3	der	477357554
4	in	267256433
5	das	201678723
6	den	179276860
7	zu	173178704
8	mit	168108251
9	ist	162122156
10	von	154642196
11	für	132395842
12	auf	128403397
13	nicht	125735767
14	es	125610823
15	ein	124208637
16	im	122763935
17	auch	122695302
18	sich	118016482
19	ich	116607908
20	sie	115394863
21	eine	110046318
22	dem	96322184
23	des	95346208
24	an	77791338
25	als	77440658
26	werden	71702746
27	bei	71353746
28	sind	64124366
29	dass	63700459
30	so	63657852
31	oder	63629965
32	wie	63473313
33	aus	63325510
34	wir	59393319
35	aber	58563134
36	wird	58544530
37	nach	57657400
38	man	56423064
39	er	56210928
40	hat	53998460
41	noch	53371073
42	einen	50628252
43	nur	49240747
44	um	48971191
45	am	48218904
46	einer	47944903
47	zum	47209465
48	kann	45119388
49	einem	43899635
50	über	43541965
51	war	41900214
52	wenn	41074598
53	haben	40236664
54	durch	38149345
55	dann	36722348
56	vor	36163025
57	zur	35526682
58	mehr	34735137
59	was	34613950
60	diese	32103304
61	da	30954655
62	können	30257832
63	schon	29758652
64	sein	29687214
65	bis	28762499
66	wurde	27853955
67	hier	26999088
68	sehr	26746879
69	wieder	26713329
70	immer	25811967
71	uns	24311040
72	ihr	23691425
73	mir	23423114
74	mal	22160353
75	ihre	22074171
76	alle	22039875
77	dieser	22011946
78	doch	21744708
79	habe	21635781
80	gibt	21453915
81	vom	21352952
82	mich	20689740
83	unter	20676744
84	du	18595011
85	ja	18540785
86	keine	17319218
87	gut	16918288
88	damit	16734983
89	hatte	16295008
90	ganz	16260980
91	beim	16047323
92	eines	16033620
93	denn	15985544
94	muss	15968164
95	nun	15823717
96	Zeit	15689672
97	seine	15578168
98	jetzt	14970087
99	etwas	14901416
100	gegen	14795923
101	dabei	14637758
102	also	14541743
103	viel	14403221
104	diesem	14362931
105	ab	13958579
106	viele	13878923
107	zwei	13697187
108	anderen	13692064
109	ohne	13430780
110	selbst	13401697
111	alles	13112041
112	sowie	13092545
113	Menschen	13090468
114	waren	12931527
115	seit	12877565
116	einfach	12791885
117	geht	12768629
118	Jahr	12762818
119	dieses	12733271
120	heute	12672297
121	sondern	12288226
122	neue	12169030
123	wurden	12051708
124	Jahren	11995093
125	bereits	11928294
126	machen	11875703
127	sollte	11768102
128	ob	11724263
129	weil	11468462
130	soll	11402924
131	ihrer	11390090
132	ihren	11307168
133	dazu	11226163
134	dies	11185546
135	ersten	10906924
136	zwischen	10844297
137	ihnen	10684754
138	bin	10624857
139	lassen	10584014
140	andere	10512207
141	meine	10458805
142	seiner	10314961
143	Jahre	9874593
144	unsere	9823401
145	leben	9806794
146	wer	9717290
147	neuen	9617311
148	weiter	9587805
149	kommt	9579839
150	müssen	9516884
151	einmal	9437305
152	wo	9420775
153	dort	9365552
154	erst	9338828
155	kein	9291700
156	natürlich	9225046
157	ihn	9180662
158	diesen	9028469
159	jedoch	8850361
160	konnte	8843894
161	ihm	8818710
162	würde	8764340
163	finden	8713911
164	drei	8684205
165	seinen	8588300
166	will	8563540
167	nichts	8539745
168	uhr	8492900
169	macht	8481848
170	allem	8294399
171	sei	8292991
172	Euro	8249839
173	wirklich	8121831
174	ins	8111413
175	steht	8068749
176	kommen	7991114
177	daß	7955537
178	gerade	7893774
179	Deutschland	7888129
180	während	7886715
181	Tag	7826404
182	allerdings	7802105
183	Kinder	7799247
184	dafür	7756085
185	wäre	7706939
186	welche	7686320
187	Ende	7624024
188	wohl	7538960
189	mein	7521692
190	einige	7435008
191	Weg	7328048
192	jeder	7302780
193	letzten	7187526
194	sehen	7143925
195	allen	7120528
196	weitere	7086359
197	besonders	7076311
198	zwar	6886172
199	neben	6868008
200	vielen	6867682
201	vielleicht	6859242
202	beiden	6837223
203	Welt	6834127
204	ihrem	6732840
205	unternehmen	6656828
206	wollen	6638675
207	liegt	6553546
208	Teil	6536149
209	seinem	6531944
210	stehen	6520717
211	bzw.	6452598
212	fast	6441440
213	Stadt	6379613
214	erste	6376661
215	euch	6376558
216	gar	6309929
217	sogar	6306802
218	geben	6276523
219	deutschen	6180542
220	möglich	6177569
221	etwa	6170314
222	schnell	6167845
223	Seite	6165110
224	großen	6165055
225	Frage	6153626
226	denen	6142522
227	eigentlich	6141918
228	unserer	6139564
229	gehen	6123766
230	gute	6112390
231	Arbeit	6110941
232	recht	6057430
233	oft	6030186
234	genau	5954108
235	lange	5952272
236	wenig	5923939
237	leider	5922393
238	hatten	5870555
239	davon	5815860
240	Thema	5814807
241	gemacht	5810657
242	Fall	5797491
243	eigenen	5785538
244	dir	5785125
245	könnte	5777259
246	unser	5771092
247	große	5760049
248	zusammen	5739304
249	bietet	5690958
250	besser	5617018
251	Frau	5610299
252	möchte	5583884
253	darauf	5562045
254	gab	5485703
255	Spiel	5479154
256	rund	5437449
257	Art	5429867
258	gleich	5350355
259	hätte	5342261
260	Platz	5325552
261	Prozent	5316649
262	Beispiel	5308956
263	sicher	5275855
264	daher	5268996
265	wissen	5240196
266	kleinen	5240002
267	paar	5147022
268	de	5141460
269	meiner	5139728
270	kam	5127160
271	findet	5113448
272	sagen	5110118
273	gerne	5084099
274	deshalb	5074246
275	zurück	5069281
276	jeden	5060089
277	sollten	5059742
278	statt	5058266
279	lässt	5006302
280	Liebe	5001629
281	richtig	4974021
282	kleine	4947770
283	stellen	4938838
284	fragen	4924943
285	deren	4904709
286	worden	4851329
287	weiß	4845456
288	sollen	4844176
289	tun	4831023
290	erhalten	4797684
291	wegen	4793222
292	eher	4787445
293	weniger	4762414
294	direkt	4749813
295	ebenfalls	4725803
296	darüber	4718361
297	ging	4699787
298	Informationen	4683845
299	nie	4647720
300	Bereich	4645765
301	später	4621618
302	ganze	4618437
303	dich	4605431
304	hin	4596921
305	warum	4592933
306	hab	4542170
307	vier	4526227
308	nehmen	4523561
309	sieht	4477392
310	geschichte	4469021
311	je	4465469
312	Kunden	4458804
313	keinen	4430578
314	werde	4416735
315	aller	4316850
316	kurz	4306376
317	Geld	4283525
318	bekommen	4272226
319	gilt	4233736
320	Möglichkeit	4228599
321	nächsten	4218301
322	deutlich	4209947
323	außerdem	4209527
324	Frauen	4185904
325	arbeiten	4174685
326	bleibt	4169224
327	klar	4155264
328	kaum	4143307
329	eben	4142236
330	meinen	4141756
331	wollte	4128276
332	Ziel	4110884
333	Berlin	4105881
334	zeigt	4077553
335	Mann	4038691
336	Buch	4016717
337	rahmen	4007146
338	konnten	3999445
339	besten	3981715
340	bitte	3968161
341	somit	3965725
342	stand	3958287
343	sagt	3935300
344	Bild	3902028
345	darf	3898718
346	Entwicklung	3879463
347	gehört	3873753
348	pro	3867803
349	zudem	3867229
350	wichtig	3864527
351	Internet	3860873
352	Wasser	3811133
353	spielen	3800809
354	bieten	3795573
355	Tage	3768168
356	neu	3763576
357	Woche	3762257
358	Minuten	3760781
359	unseren	3736115
360	stellt	3730795
361	Verfügung	3725323
362	bisher	3721338
363	deutsche	3716681
364	verschiedenen	3711943
365	Land	3681785
366	guten	3680422
367	Ort	3653903
368	schön	3647269
369	gegenüber	3612065
370	solche	3611414
371	kosten	3610902
372	Form	3608743
373	weit	3598391
374	weiteren	3578989
375	Wochen	3568594
376	zweiten	3564553
377	musste	3561457
378	Haus	3560872
379	dank	3560744
380	eigene	3553191
381	meisten	3551285
382	bleiben	3544219
383	insgesamt	3535418
384	Grund	3513498
385	Problem	3504705
386	besteht	3503102
387	sagte	3501365
388	jede	3501343
389	nachdem	3490781
390	ebenso	3473497
391	beide	3457619
392	anders	3451372
393	danach	3447805
394	Familie	3441632
395	meinem	3440222
396	alten	3412261
397	bringen	3412252
398	daran	3406610
399	Leute	3391322
400	aufgrund	3387492
401	Eltern	3383464
402	gemeinsam	3372745
403	sofort	3366928
404	dessen	3338812
405	halten	3333333
406	nutzen	3324427
407	Hand	3323297
408	lesen	3322683
409	leicht	3319687
410	anfang	3317815
411	jedem	3302711
412	bekannt	3298956
413	Hilfe	3274423
414	Blick	3272376
415	schließlich	3262337
416	dadurch	3255202
417	Zukunft	3250708
418	Namen	3250681
419	sowohl	3246072
420	überhaupt	3245872
421	unserem	3243204
422	zunächst	3218197
423	Stunden	3200450
424	hinter	3196322
425	hast	3191932
426	heißt	3173510
427	Stelle	3158189
428	finde	3149917
429	Einsatz	3138992
430	Team	3138169
431	trotz	3136772
432	Millionen	3131615
433	insbesondere	3130207
434	gewesen	3126328
435	Musik	3125291
436	endlich	3109250
437	sonst	3104335
438	weise	3086830
439	per	3078550
440	innerhalb	3072146
441	Schule	3066170
442	fünf	3055384
443	zeigen	3050215
444	fest	3048058
445	ganzen	3047065
446	führen	3030668
447	führt	3029009
448	Artikel	3015689
449	stark	3009799
450	allein	3003250
451	liegen	3002327
452	Personen	2997780
453	Mai	2990497
454	Seiten	2986582
455	oben	2974539
456	trotzdem	2972379
457	Bilder	2972005
458	meist	2970604
459	Film	2963453
460	obwohl	2961509
461	Daten	2961118
462	Erfolg	2947792
463	würden	2928232
464	jedes	2917818
465	kind	2909912
466	verschiedene	2893944
467	Probleme	2891222
468	neues	2873772
469	Gott	2863320
470	hinaus	2842870
471	Abend	2832415
472	mehrere	2827323
473	damals	2800081
474	Preis	2790545
475	lernen	2788349
476	beispielsweise	2778719
477	einzelnen	2764394
478	Gruppe	2752444
479	weiterhin	2750627
480	deine	2749056
481	nämlich	2745046
482	fand	2732164
483	zumindest	2731639
484	Juni	2724050
485	Richtung	2722964
486	gesagt	2718966
487	hallo	2718329
488	Gesellschaft	2700958
489	mitarbeiter	2696934
490	einigen	2696295
491	lang	2695926
492	schwer	2693690
493	hoch	2676379
494	Programm	2674749
495	Augen	2673973
496	welches	2670552
497	dennoch	2669196
498	geworden	2663559
499	Rolle	2658202
500	wert	2651066
